sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
Pingtung（fangshan）,Pingtung County,47,,Good,0.8,0.18,61,51.15,20,5,1.8,2.1,0.3,,,2026-09-22 11:00,0.1,5.5,15,0,120.651472,22.260899,313
Mailiao,Yunlin County,67,PM10,Moderate,4.2,0.27,54.8,26.53,50,15,10.1,11.8,1.7,,,2026-09-22 11:00,0.2,17.5,45,1,120.251825,23.753506,83
Zhongli,Taoyuan County,52,NO2,Moderate,1.1,0.37,46.9,30.31,37,10,23.1,32.7,9.6,,,2026-09-22 11:00,0.4,11.4,30,1,121.221667,24.953278,68
Pingtung,Pingtung County,32,,Good,1.8,0.35,58.1,35.8,27,7,6.4,8.1,1.7,,,2026-09-22 11:00,0.2,4.7,16,0,120.488033,22.673081,59
Renwu,Kaohsiung City,41,,Good,1.2,0.22,52.8,35.98,27,10,5.6,6.5,0.9,,,2026-09-22 11:00,0.2,10.2,22,1,120.332631,22.689056,49
Xingang,Chiayi County,60,PM2.5,Moderate,1.9,0.3,55.4,33.9,39,17,4.8,6,1.1,,,2026-09-22 11:00,0.2,15.9,39,1,120.345531,23.554839,39
Dali,Taichung City,54,PM2.5,Moderate,1.6,0.32,58.5,31.46,41,16,11,12.7,1.6,,,2026-09-22 11:00,0.3,13.6,33,1,120.67844444,24.09961111,30
Longtan,Taoyuan County,38,,Good,1.7,0.22,63.7,39.67,32,8,7.3,8.3,1,,,2026-09-22 11:00,0.2,8.2,23,1,121.21645772,24.86400048,21
Zhongshan,Taipei City,46,,Good,,,49.5,37.62,,16,,,,,,2026-09-22 11:00,0.2,11.4,26,0,121.526528,25.062361,12
Keelung,Keelung City,40,,Good,1,0.19,58,28.86,26,12,2.2,2.9,0.6,,,2026-09-22 11:00,0.2,9.3,24,1,121.760056,25.129167,1
